2024;ВРП на душу населения, руб.;Численность рабочей силы, тыс. чел.;Инвестиции в основной капитал на душу населения, руб;Добыча полезных ископаемых + обрабатывающие производства в структуре ВРП, %;Доля городского населения в общей численности населения, %;Протяженность автомобильных дорог, км
Белгородская область;1 015 794;813,2;160 813;43%;65%;13 609
Брянская область;636 575;570,7;103 513;22%;70%;10 984
Владимирская область;743 499;713,8;109 385;38%;78%;10 047
Воронежская область;757 722;1218,4;156 148;16%;69%;20 622
Ивановская область;557 302;487,4;81 966;26%;82%;8 160
Калужская область;855 283;564,7;141 474;41%;75%;11 605
Костромская область;711 210;277;83 497;25%;75%;9 762
Курская область;788 412;547,7;248 605;31%;69%;10 113
Липецкая область;939 205;593,5;221 932;46%;63%;10 488
Московская область;1 249 020;4664,7;214 591;22%;78%;28 699
Орловская область;639 833;334,7;95 479;17%;67%;12 810
Рязанская область;757 419;526,9;126 554;25%;72%;9 337
Смоленская область;761 465;447,4;126 692;23%;73%;16 003
Тамбовская область;609 973;487,9;103 341;15%;61%;16 608
Тверская область;690 823;645,4;155 055;22%;76%;19 747
Тульская область;891 344;798,4;186 427;47%;73%;10 098
Ярославская область;868 435;622,5;145 100;25%;81%;12 065
г. Москва;3 103 504;7218,5;614 842;13%;100%;-
Республика Карелия;919 389;254,5;198 267;37%;80%;3 434
Республика Коми;1 671 788;363,7;220 280;56%;78%;3 052
Ненецкий автономный округ;14 250 822;23,2;2 596 040;84%;75%;114
Архангельская область без авт. округа;883 412;455,5;122 550;30%;78%;11 504
Вологодская область;1 081 981;539,7;223 731;54%;73%;16 029
Калининградская область;937 145;572,8;209 868;17%;76%;4 512
Ленинградская область;1 174 111;1134,6;544 199;30%;70%;12 543
Мурманская область;1 714 106;348,5;506 510;36%;93%;1 115
Новгородская область;842 000;290,7;151 948;41%;73%;7 189
Псковская область;607 585;315,7;122 364;17%;71%;15 239
г.Санкт-Петербург;2 301 327;3258,5;276 151;13%;100%;-
Республика Адыгея;567 832;208,8;142 473;14%;49%;3 245
Республика Калмыкия;813 187;135;88 609;4%;47%;3 540
Республика Крым;470 793;965,7;164 396;10%;50%;10 394
Краснодарский край;922 283;2924,4;196 711;9%;57%;32 422
Астраханская область;944 947;499,4;127 217;53%;64%;4 402
Волгоградская область;621 115;1282,7;149 185;24%;78%;34 500
Ростовская область;746 513;2232,7;178 628;18%;68%;27 952
г. Севастополь;504 990;298,7;180 934;8%;93%;-
Республика Дагестан;348 978;1498,9;122 790;4%;45%;22 991
Республика Ингушетия;204 566;270,4;39 905;5%;55%;3 608
Кабардино-Балкарская Республика;381 560;448,6;85 757;9%;52%;7 592
Карачаево-Черкесская Республика;347 711;224,1;78 409;13%;42%;5 298
Республика Северная Осетия - Алания;473 305;323,7;77 863;7%;63%;5 285
Чеченская Республика;344 807;658,3;126 787;4%;47%;9 589
Ставропольский край;553 020;1487,8;133 044;15%;61%;15 543
Республика Башкортостан;739 699;1931,3;192 761;33%;63%;36 994
Республика Марий Эл;530 998;347,3;82 459;29%;69%;5 364
Республика Мордовия;625 379;412;113 499;26%;64%;8 079
Республика Татарстан;1 361 839;2070,7;359 140;45%;77%;25 677
Удмуртская Республика;979 471;721,7;159 509;49%;66%;11 822
Чувашская Республика;606 492;591,2;86 816;31%;65%;10 898
Пермский край;1 046 002;1203;251 183;53%;76%;28 395
Кировская область;635 117;582,7;123 741;36%;79%;21 908
Нижегородская область;1 009 914;1663,5;239 757;25%;80%;20 218
Оренбургская область;1 134 336;957;190 103;54%;60%;11 749
Пензенская область;652 090;645,2;114 202;20%;69%;11 826
Самарская область;1 062 849;1669;182 278;40%;79%;34 948
Саратовская область;645 768;1244,8;133 302;24%;77%;19 500
Ульяновская область;669 092;594,2;123 549;26%;77%;8 554
Курганская область;615 394;354,1;114 417;26%;65%;8 229
Свердловская область;1 124 324;2128,4;211 058;34%;86%;21 145
Ханты-Мансийский автономный округ - Югра;5 610 363;939,2;974 431;73%;92%;4 191
Ямало-Ненецкий автономный округ;12 196 003;299,8;3 187 869;77%;85%;1 657
Тюменская область без авт. округов;1 365 511;762,9;269 370;35%;68%;9 723
Челябинская область;870 657;1866,2;160 153;42%;83%;18 351
Республика Алтай;623 316;91,7;267 620;5%;30%;3 066
Республика Тыва;449 353;128,5;147 006;16%;56%;6 084
Республика Хакасия;749 963;262,3;135 834;34%;69%;4 839
Алтайский край;605 547;1130,3;110 578;25%;59%;35 619
Красноярский край;1 522 495;1450,3;387 327;53%;80%;17 186
Иркутская область;1 284 374;1156,5;429 314;39%;77%;17 949
Кемеровская область;716 694;1228,1;175 508;49%;87%;15 092
Новосибирская область;966 865;1376,3;212 241;18%;80%;13 422
Омская область;779 599;923,5;126 352;22%;74%;13 307
Томская область;1 053 060;534,2;181 137;34%;71%;7 152
Республика Бурятия;594 962;428,6;169 532;17%;59%;10 825
Республика Саха (Якутия);2 520 579;524,3;791 694;57%;70%;12 979
Забайкальский край;923 857;475,4;288 236;37%;68%;13 790
Камчатский край;1 611 201;167,3;377 638;15%;78%;876
Приморский край;1 184 384;988,2;244 714;7%;79%;9 994
Хабаровский край;1 240 000;714;581 084;19%;84%;6 931
Амурская область;1 365 680;407;1 259 571;18%;68%;9 188
Магаданская область;3 936 320;78,3;771 039;55%;97%;622
Сахалинская область;3 665 840;269,7;776 403;56%;83%;2 949
Еврейская автономная область;786 448;76;234 679;21%;71%;2 009
Чукотский автономный округ;4 678 057;30,4;2 208 084;38%;70%;324
